Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,4.436033229491174,3.6700545171339565,3.5050233644859814,6.1330218068535824
2,00:00:00.067,4.700025960539979,3.640459501557632,3.553543613707165,6.9060747663551405
3,00:00:00.100,4.565952751817238,3.514018691588785,3.6100856697819315,6.573753894080997
4,00:00:00.133,3.8673935617860855,3.07297507788162,3.295638629283489,5.233566978193147
5,00:00:00.167,5.401323987538941,4.935552959501558,3.4917445482866043,7.776674454828661
6,00:00:00.200,3.992860851505712,3.0342289719626168,3.3113707165109036,5.632982866043614
7,00:00:00.234,7.2444444444444445,4.016510903426791,6.527531152647975,11.189291277258567
8,00:00:00.267,9.968380062305295,5.6076323987538945,9.115926791277259,15.181580996884735
9,00:00:00.300,10.876272066458982,6.36452492211838,10.549376947040498,15.714914330218068
10,00:00:00.334,10.748572170301143,6.326401869158879,11.10782710280374,14.81148753894081
11,00:00:00.367,9.516653686396678,4.972507788161994,10.169742990654205,13.407710280373832
12,00:00:00.400,10.272897196261683,5.895093457943926,10.95342679127726,13.970171339563864
13,00:00:00.434,10.947741433021806,5.318146417445483,12.254127725856698,15.27095015576324
14,00:00:00.467,10.65338785046729,4.779984423676012,12.306580996884735,14.873598130841122
15,00:00:00.501,10.718185358255452,5.050506230529595,11.818847352024923,15.285202492211837
16,00:00:00.534,10.338408618899273,5.637889408099689,11.15066199376947,14.226674454828661
17,00:00:00.567,10.044807892004153,5.81214953271028,10.746767912772585,13.575506230529594
18,00:00:00.601,9.90031152647975,5.708956386292835,10.17402647975078,13.817951713395638
19,00:00:00.634,9.51451194184839,5.41958722741433,9.818302180685357,13.305646417445482
20,00:00:00.667,10.04798805815161,5.661331775700934,10.368068535825545,14.11456386292835
21,00:00:00.701,9.978400830737279,5.5352803738317755,10.5446261682243,13.855295950155764
22,00:00:00.734,9.797741433021807,5.481814641744548,10.610942367601247,13.300467289719625
23,00:00:00.767,10.064914330218068,6.165615264797508,10.836565420560747,13.19256230529595
24,00:00:00.801,9.247170301142264,4.999415887850467,10.414174454828661,12.327920560747664
25,00:00:00.834,8.970158359293873,4.902570093457944,10.410747663551401,11.597157320872274
26,00:00:00.868,9.01085150571132,5.075506230529595,10.565381619937694,11.391666666666667
27,00:00:00.901,8.43616303219107,4.649922118380062,10.171845794392523,10.486721183800624
28,00:00:00.934,8.34291277258567,4.683138629283489,10.018808411214954,10.326791277258566
29,00:00:00.968,8.290329698857738,4.523481308411215,10.09863707165109,10.248870716510904
30,00:00:01.001,7.847339044652128,4.0812305295950155,9.757009345794392,9.703777258566978
31,00:00:01.034,7.771261682242991,4.469236760124611,9.380373831775701,9.46417445482866
32,00:00:01.068,7.451233125649014,4.3656931464174455,8.969548286604361,9.018457943925233
33,00:00:01.101,7.009021287642784,3.878660436137072,8.49123831775701,8.657165109034269
34,00:00:01.134,7.5526349948078915,5.135358255451713,8.440381619937694,9.082165109034268
35,00:00:01.168,6.4918743509865005,3.817757009345794,7.689213395638629,7.968652647975078
36,00:00:01.201,6.198870716510903,3.6158489096573208,7.208566978193146,7.772196261682243
37,00:00:01.235,6.239680685358255,4.219470404984424,6.925584112149533,7.57398753894081
38,00:00:01.268,6.650895638629284,4.822468847352025,7.073247663551402,8.056970404984424
39,00:00:01.301,5.781126687435098,3.8022196261682244,6.276129283489096,7.265031152647975
40,00:00:01.335,5.63955088265836,3.8129283489096575,6.044509345794393,7.061214953271028
41,00:00:01.368,5.439213395638629,3.8412383177570093,5.6598520249221185,6.81654984423676
42,00:00:01.401,5.793055555555557,4.770638629283489,5.613356697819315,6.995171339563863
43,00:00:01.435,4.885267393561786,3.7396806853582554,4.814369158878504,6.101752336448598
44,00:00:01.468,4.797585669781931,3.7128115264797508,4.821728971962616,5.858216510903427
45,00:00:01.502,4.5505970924195225,3.873714953271028,4.187538940809969,5.59053738317757
46,00:00:01.535,4.408865524402907,4.02702492211838,3.9718847352024924,5.22768691588785
47,00:00:01.568,3.48884994807892,3.055607476635514,3.218107476635514,4.192834890965732
48,00:00:01.602,3.156606957424714,2.7049454828660435,3.0528426791277257,3.712032710280374
49,00:00:01.635,2.8114356178608517,2.7309968847352026,2.5097741433021805,3.193535825545171
50,00:00:01.668,3.1441588785046726,2.8105919003115263,2.957165109034268,3.664719626168224
51,00:00:01.702,2.7443406022845274,2.3999610591900313,2.6181853582554515,3.2148753894080997
52,00:00:01.735,2.6821002076843197,1.9809968847352024,2.9276479750778814,3.1376557632398754
53,00:00:01.768,2.5717419522326064,1.962772585669782,2.6802180685358254,3.072235202492212
54,00:00:01.802,3.300129802699896,2.671222741433022,3.3012461059190032,3.9279205607476637
55,00:00:01.835,2.5575155763239876,2.0209890965732087,2.6786993769470406,2.9728582554517136
56,00:00:01.869,2.679789719626168,2.0858644859813085,2.7641744548286606,3.1893302180685357
57,00:00:01.902,2.241822429906542,1.932398753894081,2.176323987538941,2.6167445482866043
58,00:00:01.935,3.009410695742471,2.5212616822429905,2.829828660436137,3.677141744548287
59,00:00:01.969,3.367536344755971,3.1965732087227416,3.062344236760125,3.8436915887850467
60,00:00:02.002,3.766523883696781,3.523948598130841,3.522780373831776,4.252842679127726
61,00:00:02.035,2.3755451713395637,1.6622663551401868,2.6542056074766354,2.8101635514018692
62,00:00:02.069,2.694016095534787,2.115615264797508,2.8192757009345795,3.147157320872274
63,00:00:02.102,3.2075674974039465,2.4095404984423676,3.433995327102804,3.779166666666667
64,00:00:02.135,2.7295560747663554,1.7416666666666667,3.1864096573208722,3.2605919003115265
65,00:00:02.169,2.4710929387331255,1.4735591900311527,2.9774532710280375,2.962266355140187
