Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,1.125778816199377,0.7204049844236761,1.8250389408099688,0.8318925233644859
2,00:00:00.083,3.0771806853582553,0.326791277258567,8.314914330218068,0.5898364485981309
3,00:00:00.125,4.6602803738317755,0.5340732087227414,12.930996884735203,0.5157710280373832
4,00:00:00.167,6.052946521287644,0.3772196261682243,17.52161214953271,0.26000778816199377
5,00:00:00.209,8.50272585669782,3.9447429906542055,20.424104361370716,1.1393302180685358
6,00:00:00.250,7.611656282450674,1.8672897196261682,20.30268691588785,0.6649922118380063
7,00:00:00.292,8.779478193146417,1.6528816199376948,24.055957943925232,0.629595015576324
8,00:00:00.334,7.883735721703012,0.4110202492211838,22.98321651090343,0.2569704049844237
9,00:00:00.375,8.138681204569055,0.06553738317757009,24.14688473520249,0.2036214953271028
10,00:00:00.417,7.604088785046728,1.736214953271028,20.414369158878504,0.6616822429906543
11,00:00:00.459,6.927609034267913,0.26203271028037384,20.29470404984424,0.22609034267912773
12,00:00:00.500,6.03446261682243,0.5492990654205607,17.25915109034268,0.29493769470404985
13,00:00:00.542,4.625960539979231,0.461214953271028,13.20809968847352,0.20856697819314643
14,00:00:00.584,2.598559190031153,0.5865654205607477,7.071261682242991,0.1378504672897196
15,00:00:00.626,1.5852154724818277,0.8669781931464174,3.80642523364486,0.08224299065420561
16,00:00:00.667,0.0,0.0,0.0,0.0
17,00:00:00.709,0.0,0.0,0.0,0.0
18,00:00:00.751,0.32594755970924194,0.8533489096573209,0.04836448598130841,0.07612928348909657
19,00:00:00.792,0.16703011422637593,0.46658878504672896,0.0095404984423676,0.02496105919003115
20,00:00:00.834,0.0006230529595015577,0.0,0.0016355140186915889,0.00023364485981308412
21,00:00:00.876,0.004387331256490135,0.001557632398753894,0.004478193146417445,0.007126168224299065
22,00:00:00.918,0.16983385254413294,0.44871495327102806,0.030062305295950154,0.03072429906542056
23,00:00:00.959,0.0038551401869158877,0.00588006230529595,0.005218068535825546,0.00046728971962616824
24,00:00:01.001,0.004426272066458982,0.0011682242990654205,0.003933021806853582,0.008177570093457943
25,00:00:01.043,0.05604880581516095,0.13987538940809968,0.008566978193146417,0.01970404984423676
26,00:00:01.084,0.0726246105919003,0.1595404984423676,0.01732866043613707,0.04100467289719626
27,00:00:01.126,0.007930944963655243,0.018691588785046728,0.004127725856697819,0.0009735202492211838
28,00:00:01.168,0.0002336448598130841,0.0,0.0005841121495327102,0.00011682242990654206
29,00:00:01.210,0.11416147455867082,0.32554517133956384,0.004633956386292835,0.012305295950155764
30,00:00:01.251,0.1878245067497404,0.5153816199376947,0.01705607476635514,0.031035825545171338
31,00:00:01.293,0.009670301142263757,0.02570093457943925,0.0028426791277258567,0.00046728971962616824
32,00:00:01.335,0.00022066458982346833,0.0,0.0005841121495327102,7.788161993769471e-05
33,00:00:01.376,0.05832035306334372,0.15070093457943926,0.005101246105919003,0.019158878504672898
34,00:00:01.418,0.09750778816199375,0.2530373831775701,0.011059190031152648,0.028426791277258567
35,00:00:01.460,0.0041796469366562825,0.006191588785046729,0.0033489096573208724,0.002998442367601246
36,00:00:01.501,6.490134994807893e-05,0.0,0.00015576323987538941,3.8940809968847354e-05
37,00:00:01.543,0.11566718587746626,0.3251168224299065,0.004906542056074766,0.016978193146417447
38,00:00:01.585,0.16220145379023884,0.4379283489096573,0.018107476635514017,0.03056853582554517
39,00:00:01.627,0.006100726895119418,0.018107476635514017,3.8940809968847354e-05,0.00015576323987538941
40,00:00:01.668,0.0,0.0,0.0,0.0
41,00:00:01.710,0.0,0.0,0.0,0.0
42,00:00:01.752,0.07999740394600208,0.20249221183800623,0.021806853582554516,0.015693146417445483
43,00:00:01.793,0.004543094496365524,0.011682242990654205,0.0017912772585669781,0.00015576323987538941
44,00:00:01.835,0.0,0.0,0.0,0.0
45,00:00:01.877,0.004672897196261682,0.012266355140186916,0.0012850467289719626,0.00046728971962616824
46,00:00:01.919,0.042393561786085145,0.10778816199376948,0.011954828660436137,0.007437694704049844
47,00:00:01.960,0.00048026998961578403,0.0,0.001207165109034268,0.00023364485981308412
